out,in
libstemmer,glibc
libgdither,glibc
libXrender,glibc
gnupg2-smime,readline
subversion,sqlite-libs
gpm-libs,glibc
libreport-plugin-ureport,augeas-libs
rpmlint,perl-interpreter
freerdp-libs,gsm
google-noto-serif-malayalam-fonts,google-noto-fonts-common
redhat-lsb-core,coreutils
glusterfs,systemd
perl-Pod-Usage,ModemManager
qt5-qtconnectivity,libstdc++
mariadb-embedded,mariadb-common
coreutils,openssl-libs
aom,glibc
apr-util-sqlite,apr-util
mesa-libGL,libxcb
cmake,glibc
epel-aliyuncs-next-release,epel-aliyuncs-release
xz,bash
webkit2gtk3-jsc,libgcc
splix,zlib
ocaml-hivex,glibc
perl-JSON-PP,perl
libmatchbox,glibc
libetonyek,libstdc++
libreoffice-gtk3,glib2
dde,bash
mesa-libxatracker,libstdc++
librepo,glib2
libquvi,glib2
libgusb,glib2
libnice,glib2
libzip-tools,libzip
libuser,glib2
libsoup,glib2
maven-doxia,maven-parent
libgpod,glib2
bitmap-fonts-compat,bitmap-console-fonts
xapian-core-libs,glibc
perl-Locale-Codes,perl-Exporter
java-1.8.0-openjdk-headless,libstdc++
antlr-tool,java-1.8.0-openjdk-headless
bind-dyndb-ldap,krb5-libs
check,info
libguestfs-rescue,vim-minimal
gnome-boxes,spice-gtk3
libreoffice-filters,libreoffice-calc
python2-urllib3,python2-six
python3-urllib3,python3-six
osgi-annotation,javapackages-filesystem
libvmem,glibc
librhsm,glibc
libpcap,glibc
liblsan,glibc
libXtst,glibc
libthai,glibc
libvirt,libvirt-daemon-driver-interface
libXres,glibc
libsass,glibc
libGLEW,glibc
mpitests-mvapich2-psm2,glibc
fcitx,dbus-glib
kf5-kparts,kf5-kconfig-core
libmatchbox,glib2
update-motd,python3-dnf-plugin-post-transaction-actions
libreoffice-gtk3,glibc
python3-podman,python3-requests
sssd-common,libnl3
metacity,atk
ostree-libs,xz-libs
perl-ExtUtils-Embed,perl-libs
opencv-core,qt5-qtbase-gui
lm_sensors,dmidecode
google-noto-sans-inscriptional-pahlavi-fonts,google-noto-fonts-common
perl-libintl-perl,perl-IO
dblatex,texlive-kpathsea
perl-core,perl-Data-Dumper
anaconda-core,crypto-policies-scripts
kf5-ki18n,libgcc
qt5-qtquickcontrols2-examples,libglvnd-glx
platform-python-coverage,glibc
dnsmasq,nettle
kf5-kconfig-gui,libstdc++
libreport,lz4
kf5-kiconthemes,libstdc++
mingw32-cairo,mingw32-crt
rhythmbox,grilo
sssd-tools,libsss_simpleifp
gettext,gettext-libs
kf5-kpty,qt5-qtbase
perl-NetAddr-IP,perl-Socket6
exiv2,libstdc++
hunspell-es,hunspell-es-CU
mpitests-openmpi,libgcc
texlive-tex,texlive-hyphen-base
ibus-table-chinese-stroke5,bash
setroubleshoot-server,bash
gedit-plugin-translate,libpeas-loader-python3
gimp,atk
pygtk2,freetype
java-1.8.0-openjdk-headless-fastdebug,freetype
kf5-kcmutils,glibc
gutenprint-libs-ui,pango
intel-gpu-tools,libpciaccess
libsmbclient,glibc
osbuild-composer-worker,libxcrypt
bind-utils,libcap
kernelshark,atk
xmlsec1-openssl,libtool-ltdl
libknet1-compress-lz4-plugin,libknet1
qt5-qtmultimedia-examples,qt5-qtbase
xorg-x11-drv-dummy,xorg-x11-server-Xorg
speech-dispatcher,libtool-ltdl
flatpak-selinux,policycoreutils-python-utils
gcc-toolset-9-systemtap-client,bash
nspr,glibc
gcc-gfortran,gcc
systemd-container,libgcc
podman,slirp4netns
deepin-compressor,lz4-libs
git-email,perl-MailTools
network-scripts,ipcalc
pam,glibc
scl-utils-build,redhat-rpm-config
keentune-bench,bash
keentune-brain,bash
plexus-containers,javapackages-filesystem
bpg-mrgvlovani-fonts,bpg-fonts-common
time,bash
python3-javapackages,python3-lxml
ocaml-findlib,glibc
google-noto-sans-gujarati-ui-fonts,fontpackages-filesystem
nbdkit-bash-completion,clufter-cli
open-vm-tools,xz-libs
iputils,systemd
autoconf213,m4
ipmievd,systemd
grub2-tools-minimal,xz-libs
libfonts,javapackages-tools
perl-PadWalker,perl-libs
texlive-fancyref,texlive-kpathsea
kernel-core,ModemManager
texlive-euro,texlive-kpathsea
vm-dump-metrics,libxml2
perl-Compress-Bzip2,bzip2-libs
kf5-kdelibs4support,kf5-kguiaddons
kernel-tools-libs,glibc
python3-libproxy,libproxy
fontforge,libpng
gcc-toolset-11-toolchain,gcc-toolset-11-gcc-gfortran
gcc-toolset-10-toolchain,gcc-toolset-10-gcc-gfortran
fence-agents-aliyun,glibc
quota-nld,systemd
python3-tkinter,python3-libs
perl,perl-perlfaq
perl-Devel-Caller,perl-libs
samba-winbind-clients,krb5-libs
libreoffice-langpack-zu,hyphen-zu
jackson-jaxrs-json-provider,jackson-module-jaxb-annotations
gcc-toolset-11-systemtap-runtime,nss-util
gcc-toolset-10-systemtap-runtime,nss-util
pinfo,ncurses-libs
totem,gdk-pixbuf2
libguestfs-appliance,syslinux-extlinux
qt5-qttools-examples,qt5-qttools-libs-designer
ucx-rdmacm,glibc
ffado,libsigc++20
google-noto-emoji-color-fonts,fontpackages-filesystem
system-lsb-desktop,libXtst
perl-Pod-Escapes,perl
evince-libs,libspectre
flatpak-xdg-utils,glib2
kf5-kpty,libstdc++
voikko-tools,libvoikko
sssd-proxy,pam
ibus-gtk2,ibus-libs
gpac,ffmpeg-libs
thai-scalable-loma-fonts,thai-scalable-fonts-common
rear,bash
perl-MIME-Base64,perl-Exporter
iptstate,glibc
tigervnc,libICE
timedatex,bash
iprutils,glibc
iptables,glibc
ruby-libs,libffi
texlive-pstricks,texlive-graphics
flatpak-xdg-utils,glibc
targetcli,platform-python
asciidoc,vim-filesystem
java-1.8.0-openjdk-javadoc,chkconfig
xmlsec1-nss,libtool-ltdl
purple-sipe,krb5-libs
perl-vmsish,perl-libs
slf4j-jcl,apache-commons-logging
plexus-ant-factory-javadoc,javapackages-filesystem
libsigsegv,glibc
java-1.8.0-alibaba-dragonwell-devel-fastdebug,java-1.8.0-alibaba-dragonwell
matchbox-window-manager,pango
mysql,zlib
WALinuxAgent,bash
readonly-root,findutils
readonly-root,coreutils
perl-Test-Simple,perl-Term-ANSIColor
gcc-toolset-10-systemtap-server,shadow-utils
gcc-toolset-11-systemtap-server,shadow-utils
groff-base,libgcc
ffmpeg-libs,libass
389-ds-base,glibc
deepin-picker,glibc
gdk-pixbuf2-modules,glibc
ipa-server,shadow-utils
glusterfs-client-xlators,openssl-libs
ldapjdk,jss
java-1.8.0-openjdk-demo-fastdebug,libstdc++
maven-surefire-report-parser,maven-shared-utils
gnutls-dane,gnutls
qt5-qtbase-odbc,libgcc
libthai,libdatrie
gdk-pixbuf2-modules,glib2
cups-filters,poppler-utils
perl-Devel-CheckLib,perl-File-Temp
unbound,unbound-libs
java-1.8.0-openjdk-fastdebug,zlib
java-1.8.0-openjdk-slowdebug,zlib
ghostscript-x11,libX11
python2-libs,bash
python3-libs,bash
dhcp-server,krb5-libs
jss,java-1.8.0-openjdk-headless
grub2-tools-minimal,bash
deepin-devicemanager,libgcc
openchange,samba-client-libs
perl-Scalar-List-Utils,glibc
fence-agents-compute,fence-agents-common
mutt,mailcap
jansi-native,hawtjni-runtime
perl,perl-Compress-Raw-Bzip2
python3-ipalib,python3-dbus
kexec-tools,sed
dde-device-formatter,dtkgui
libtalloc,glibc
openwsman-client,glibc
libfabric,glibc
libatomic,glibc
libmpcdec,glibc
libeasyfc,glibc
perl-CGI,perl-parent
perl-URI,perl-parent
rpm-libs,libacl
mvapich2,libquadmath
powermock-api-easymock,javapackages-filesystem
doxygen,libstdc++
dovecot,libstdc++
daxio,ndctl-libs
libeasyfc,glib2
openbox,openbox-libs
cyrus-sasl-plain,krb5-libs
perl-File-Find-Rule,perl-Carp
gvfs-gphoto2,p11-kit
kf5-kded,libstdc++
java-11-alibaba-dragonwell-headless-slowdebug,javapackages-filesystem
gnome-terminal-nautilus,cairo
resource-agents,e2fsprogs
target-restore,python3-rtslib
perl-debugger,perl-IO
qt5-qtquickcontrols-examples,qt5-qtbase
libblockdev-crypto,nss
xdg-user-dirs-gtk,pango
perl-generators,perl-Fedora-VSP
jdepend,java-1.8.0-openjdk-headless
python3-qt5-base,qt5-qtbase-gui
gnuplot,qt5-qtbase-gui
yelp-tools,itstool
dtkwidget,libXi
perl-Module-Load,perl-PathTools
sblim-wbemcli,curl
perl-autodie,perl-Carp
pcp-pmda-postfix,perl-PCP-PMDA
latex2html,bash
netpbm-progs,libX11
fontconfig,glibc
kf5-kio-file-widgets,qt5-qtbase-gui
gnome-session-kiosk-session,bash
fwupd,json-glib
mod_md,apr-util
policycoreutils-restorecond,dbus-libs
genisoimage,coreutils
gutenprint-cups,libxcrypt
lucene++,boost-thread
cryptsetup-libs,json-c
cups-filters-libs,libxcrypt
jetty-server,javapackages-filesystem
google-noto-sans-old-italic-fonts,google-noto-fonts-common
ffmpeg-libs,zvbi
texlive-pdftex,texlive-lib
rhythmbox,libsecret
brasero-libs,gtk3
gnome-tweaks,platform-python
libvirt-daemon-driver-storage-rbd,librbd1
libSM,libuuid
mariadb-server,psmisc
google-noto-sans-gurmukhi-fonts,google-noto-fonts-common
rsync-daemon,bash
avahi-ui,cairo
perl-ExtUtils-Command,perl-libs
abrt-gui,cairo
kwin,kwin-common
deepin-screen-recorder,dde-qt-dbus-factory
gjs,libgcc
libglvnd,glibc
libwnck3,glibc
libwacom,glibc
libgcab1,glibc
libgdata,glibc
libwinpr,glibc
emacs-nox,bash
rpm-plugin-selinux,popt
pam_cifscreds,glibc
libguestfs,libxml2
open-vm-tools-sdmp,procps-ng
xorg-x11-drivers,xorg-x11-drv-fbdev
xorg-x11-drivers,xorg-x11-drv-evdev
iowatcher,sysstat
lightdm-gtk,pango
mythes-en,mythes
libpeas-gtk,pango
mingw64-gcc,mingw64-filesystem
maven-filtering,plexus-utils
deepin-log-viewer,xerces-c
system-lsb-languages,perl-XML-LibXML
plymouth-graphics-libs,zlib
dde-printer,libgcc
pulseaudio-module-bluetooth,speexdsp
python3-libnbd,libnbd
freeradius,glibc-common
maven,sisu-inject
aspell,libstdc++
libcdio-paranoia,libcdio
python3-sss,dbus-libs
mariadb-embedded,zlib
boost-system,libgcc
perl-Locale-gettext,perl-libs
bluez-hid2hci,bash
deepin-manual,qt5-qtbase-gui
gcc-toolset-11-runtime,libsemanage
gcc-toolset-10-runtime,libsemanage
python38-urllib3,python38-idna
rsyslog-mysql,rsyslog
linuxdoc-tools,texlive-tetex
yelp-tools,libxml2
passwd,freeradius
bind-utils,libidn2
maven-hawtjni-plugin,maven-lib
dde-desktop,libdde-file-manager
libreport-gtk,gdk-pixbuf2
texlive-adjustbox,texlive-xkeyval
spamassassin,perl-Mail-SPF
libavdevice,ffmpeg-libs
libvirt-daemon-kvm,libvirt-daemon
createrepo_c,glib2
libxcb,libXau
libotf,libXaw
gnome-logs,gtk3
xorg-x11-server-Xwayland,libXdmcp
texlive-collection-basic,texlive-texlive.infra
qrencode,zlib
google-guice,javapackages-filesystem
kf5-kparts,libstdc++
maven-local,maven-surefire-plugin
sssd-ldap,libldb
createrepo_c,glibc
tesseract-script-oriya,tesseract
tesseract-script-greek,tesseract
tesseract-script-khmer,tesseract
libreoffice-graphicfilter,lcms2
xz-java,javapackages-filesystem
mingw32-readline,mingw32-termcap
mingw64-readline,mingw64-termcap
sbd,pacemaker-cluster-libs
stalld,glibc
perl-Convert-ASN1,perl-constant
itstool,python3-libxml2
xorg-x11-drv-wacom-serial-support,systemd-libs
389-ds-base-snmp,cyrus-sasl-lib
perl-CPAN,perl-Time-Local
tracker-miners,systemd
rrdtool-ruby,rrdtool
rsyslog-mmsnmptrapd,rsyslog
alsa-plugins-samplerate,glibc
texlive-jknapltx,texlive-latex
volume_key,glibc
rpm-sign,zlib
python3-freeradius,platform-python
xorg-x11-server-utils,libICE
cyrus-imapd,xapian-core-libs
dump,lzo
gstreamer1,libcap
xorg-x11-server-utils,libXmu
mvapich2-psm2,libquadmath
libgovirt,rest
grub2-tools,bash
perl-core,perl-Test-Harness
lucene++,boost-chrono
jmc-core-javadoc,javapackages-filesystem
xmlstreambuffer,javapackages-filesystem
perl-Symbol,perl-Exporter
kf5-knotifications,libX11
perl-sigtrap,perl
python3-pytz,tzdata
python2-pytz,tzdata
libvarlink,libgcc
libreport-plugin-rhtsupport,libreport
bea-stax-api,javapackages-filesystem
volume_key,glib2
xfsdump,xfsprogs
unbound,libevent
texlive-jadetex,texlive-base
python2,python2-libs
boost-fiber,libgcc
xorg-x11-server-utils,libX11
perl-Params-Check,perl-libs
swig,pcre
python3-dbus,dbus-glib
anaconda-core,bash
hunspell-mos,hunspell
hunspell-mai,hunspell
qt5-qtbase-static,pkgconf-pkg-config
hunspell-grc,hunspell
hunspell-smj,hunspell
avahi-compat-howl,avahi-libs
hunspell-csb,hunspell
pcp-libs,libuv
hunspell-ast,hunspell
python3-samba,libldb
python3-scipy,libgcc
source-highlight,boost-regex
nss-util,nspr
python2-scipy,libgcc
python38-tkinter,openssl-libs
python3-samba,gnutls
volume_key-libs,nss-util
ibus-libpinyin,glib2
gdk-pixbuf2-xlib,libX11
gcc-toolset-11-gcc-gfortran,bash
gcc-toolset-10-gcc-gfortran,bash
python3-sphinx,python3-packaging
kf5-kwallet,kf5-knotifications
integritysetup,libuuid
fabtests,ruby
brltty-espeak-ng,glibc
perl-libxml-perl,perl-libs
perl-libxml-perl,perl-Carp
unbound-libs,glibc
mailman,python2-dns
opencryptoki,coreutils
perl-DBD-MySQL,perl
python3-subversion,apr-util
python3-avahi,avahi-libs
perl-XML-XPath,perl-libs
kf5-kdelibs4support,qt5-qtbase-gui
hplip-libs,sane-backends-libs
libreoffice-langpack-zh-Hans,bitmap-fangsongti-fonts
perl,perl-Params-Check
ibus-libpinyin,glibc
pcp-pmda-oracle,perl-DBI
rpm-plugin-systemd-inhibit,audit-libs
pcp-pmda-gluster,bash
maven-failsafe-plugin,javapackages-filesystem
texlive-tex4ht,perl
ibus,ibus-gtk3
librepository,java-1.8.0-openjdk-headless
gnome-online-miners,dbus
golang-bin,golang
xterm,libXt
dump,e2fsprogs-libs
udisks2-lsm,libstoragemgmt
qemu-kvm-block-curl,glibc
tog-pegasus,glibc
php-ffi,libffi
git-core,pcre2
bacula-libs,zlib
mpitests-mvapich2-psm2,libgcc
opencv-core,libtiff
python3-libguestfs,glibc
perl-Pod-Simple,perl-Carp
mariadb-connector-c,zlib
dde-launcher,qt5-qtsvg
squid,libstdc++
texi2html,perl-Getopt-Long
usbguard-notifier,libstdc++
maven-settings,javapackages-filesystem
avahi-ui-gtk3,avahi-libs
texlive-gsftopk,texlive-base
python3-rpm,libdb
istack-commons-tools,javapackages-tools
perl-Test,perl-Exporter
systemtap-runtime-virthost,glibc
pcp-pmda-activemq,perl-libwww-perl
python3-cffi,python3-pycparser
ldapjdk-javadoc,javapackages-filesystem
texlive-dvisvgm,libstdc++
perl-File-DesktopEntry,perl-Carp
python3-keycloak-httpd-client-install,python3-jinja2
xorg-x11-apps,xorg-x11-xbitmaps
bcc,tar
librbd1,boost-chrono
librbd1,boost-system
librbd1,boost-atomic
mesa-libEGL,mesa-libgbm
perl-AnyEvent,perl-interpreter
perl-Hash-Util,perl-Scalar-List-Utils
javapackages-local,libcap-ng-python3
easymock-javadoc,javapackages-filesystem
frr,libgcc
dde-qt5xcb-plugin,libX11
gtkspell,enchant
crit,python3-criu
libblockdev-mpath,kmod-libs
pcp-pmda-elasticsearch,bash
hunspell-oc,hunspell
hunspell-or,hunspell
hunspell-om,hunspell
mesa-dri-drivers,libstdc++
farstream02,gupnp
java-1.8.0-openjdk-headless,nspr
texlive-l3kernel,texlive-fancyvrb
libreoffice-core,clucene-core
sg3_utils,glibc
libguestfs-appliance,squashfs-tools
postfix-pcre,pcre
spax,libselinux
rubygem-did_you_mean,ruby-libs
iproute-tc,iproute
fence-agents-ipdu,fence-agents-common
mokutil,glibc
emacs,libICE
qt5-qtwebchannel,libstdc++
system-lsb-desktop,mesa-libGLU
open-vm-tools,zlib
java-11-alibaba-dragonwell-headless-slowdebug,lksctp-tools
tpm2-abrmd-selinux,bash
python3-bcc,bcc
libisoburn,glibc
gd,libX11
perl,perl-CPAN-Meta-YAML
maven,slf4j
sblim-sfcc,glibc
texlive-lineno,texlive-finstrut
pstoedit,ghostscript
gnome-initial-setup,geocode-glib
perl-XML-LibXML,perl-XML-SAX
pcp-pmda-libvirt,python3-pcp
httpcomponents-client,apache-commons-codec
perl-TimeDate,perl-Time-Local
pulseaudio-module-bluetooth,libtdb
rpm-sign,libzstd
python3-pwquality,libpwquality
dde-dock,qt5-qtx11extras
cheese-libs,gdk-pixbuf2
mesa-libEGL,libxcb
mpv,libXrandr
deepin-diskmanager,dtkgui
lightdm,pam
pulseaudio-module-x11,libsndfile
ypbind,bash
389-ds-base-legacy-tools,perl-Mozilla-LDAP
dleyna-connector-dbus,dleyna-core
intltool,perl-libs
ntsysv,libselinux
libqb,glibc
libgs,glibc
libXi,glibc
librx,glibc
libuv,glibc
libdv,glibc
libXt,glibc
libXv,glibc
libva,glibc
libSM,glibc
python3-kmod,kmod-libs
java-11-alibaba-dragonwell-headless,javapackages-filesystem
perl-Test-Deep,perl-Carp
perl-Test-Warn,perl-Carp
perl-Test-Simple,perl-threads-shared
fcitx-configtool,gdk-pixbuf2
pcp-testsuite,pcp-pmda-statsd
culmus-nachlieli-clm-fonts,culmus-fonts-common
texlive-dvisvgm,libgs
google-noto-sans-cherokee-fonts,bash
mingw32-icu,mingw32-gcc-c++
quota-rpc,quota-nls
kf5-plasma,kf5-kxmlgui
usermode-gtk,fontconfig
evolution-pst,enchant
libvirt-daemon-driver-storage,libvirt-daemon-driver-storage-disk
kf5-kio-widgets-libs,kf5-kconfig-core
nss_wrapper,cmake-filesystem
xerces-j2,bash
graphviz-gd,graphviz
vapoursynth-plugins,libgcc
texlive-passivetex,texlive-hyperref
cups-libs,glibc
perl-Switch,perl-Filter
python38-idle,chkconfig
parfait,guava20
deepin-log-viewer,dtkwidget
plasma-breeze,kf5-frameworkintegration-libs
xterm,libXmu
gtk3,libXdamage
gtk2,libXdamage
fdo-manufacturing-server,tpm2-tss
nbdkit-basic-plugins,libgcc
redfish-finder,NetworkManager
libdc1394,libraw1394
gcc-toolset-10-systemtap-server,libcurl
gcc-toolset-10-systemtap-client,libcurl
qt5-qtx11extras,libglvnd-glx
grubby,grub2-tools-minimal
plymouth-theme-script,389-ds-base
gnome-session-wayland-session,xorg-x11-server-Xwayland
qemu-img,gnutls
evolution-langpacks,evolution
fftw-libs,fftw-libs-double
gnome-online-accounts,krb5-libs
flac-libs,libgcc
gjs,mozjs60
nmap,pcre
perl-Hash-Util,glibc
texlive-collection-basic,texlive-hyphen-base
evolution-data-server,p11-kit
dde-dock,qt5-qtbase
systemtap-client,nspr
pesign,nss
libwpg,librevenge
python3-createrepo_c,openssl-libs
libwpd,librevenge
libqxp,librevenge
libzmf,librevenge
libwps,librevenge
java-1.8.0-alibaba-dragonwell-headless,glibc
libabw,librevenge
libcdr,librevenge
grafana-pcp,glibc
perl-lib,perl
pstoedit,libEMF
samba-winbind-modules,glibc
urw-base35-d050000l-fonts,xorg-x11-server-utils
libstaroffice,glibc
libglvnd-glx,libX11
gcc-toolset-10,gcc-toolset-10-toolchain
python3-libxml2,xz-libs
bitmap-console-fonts,fontpackages-filesystem
gstreamer1-plugins-good,taglib
tengine,lua
perl-utils,perl-Text-Tabs+Wrap
qt5-qtbase,krb5-libs
libgnomekbd,glibc
fence-virtd-multicast,nss
perl-IO-Zlib,perl
felix-osgi-compendium,felix-osgi-core
maven-install-plugin,maven-project
mysql-libs,libgcc
libshout,libvorbis
kf5-kio-core,libxml2
perl-Memoize,perl-Storable
gnome-initial-setup,libsecret
gnome-initial-setup,libXfixes
perl-utils,perl-Carp
libgnomekbd,glib2
perl-Time,perl
lightdm,libXdmcp
texlive-collection-basic,texlive-kpathsea
texlive-fontawesome,texlive-tetex
clufter-lib-pcs,clufter-lib-general
boost-numpy3,libstdc++
clufter-lib-ccs,clufter-lib-general
lynx,anolis-indexhtml
rpm-build,audit-libs
redhat-lsb-printing,389-ds-base
eclipse-swt,java-1.8.0-openjdk-headless
kf5-kio-core,libattr
kf5-kio-core,libxslt
abrt,abrt-libs
qgpgme,libgpg-error
cups,libusbx
perl-TimeDate,perl
byzanz,GConf2
kyotocabinet-libs,xz-libs
rpm,libdb
accel-config,kmod-libs
maven-plugin-tools-java,plexus-containers-component-annotations
libreport-gtk,augeas-libs
perl-core,perl-Env
libreport-cli,augeas-libs
libreport-web,augeas-libs
netconsole-service,sed
gutenprint,glibc
dwarves,zlib
rls,glibc
lld-libs,libgcc
deepin-boot-maker,libstdc++
libreoffice-graphicfilter,libreoffice-ure
gdk-pixbuf2-modules,libtiff
bind-sdb,json-c
perl-Unicode-UCD,perl-Exporter
kf5-kded,glibc
rpm,zlib
qt5-qtbase-gui,libdrm
lasso,libxslt
dde-control-center,kf5-networkmanager-qt
perl-Params-ValidationCompiler,perl-Carp
firefox,libXfixes
spice-gtk3,libepoxy
net-snmp-perl,perl-PathTools
dde-disk-mount-plugin,libgcc
dde-disk-mount-plugin,dtkgui
systemd,libblkid
redhat-lsb-core,sendmail
dde-disk-mount-plugin,libglvnd-glx
freeradius-perl,libxcrypt
python39-cffi,python39-pycparser
redhat-lsb-desktop,libpng12
oddjob-mkhomedir,glibc
sssd-krb5,popt
rsyslog-mmfields,glibc
perl-Git-SVN,perl-constant
texlive-fontbook,texlive-xunicode
gedit-plugin-multiedit,libpeas-loader-python3
culmus-miriam-mono-clm-fonts,culmus-fonts-common
pinentry-gtk,glib2
gstreamer1-plugins-good,libavc1394
libinput-utils,glibc
avahi-compat-libdns_sd,glibc
nginx-mod-stream,nginx
onboard,cairo
ctdb,iproute
bacula-libs,libgcc
javacc,javapackages-filesystem
gdm,libgcc
gnome-shell,libgcc
google-noto-serif-telugu-fonts,fontpackages-filesystem
fftw,bash
php-gd,gd
perl-Package-Stash-XS,perl-libs
libinput-utils,python3-pyudev
openssh-ldap,libselinux
unrar,glibc
antlr-tool,javapackages-filesystem
unzip,glibc
anaconda-dracut,libarchive
ctdb,bash
sysfsutils,glibc
texlive-typehtml,texlive-base
rpm-mpi-hooks,filesystem
deepin-manual,qt5-qtwebchannel
pinentry-gtk,glibc
maven-invoker-plugin,plexus-interpolation
containerd-stress,glibc
mingw64-fontconfig,mingw64-gcc
mingw32-fontconfig,mingw32-gcc
perl-core,perl-version
anaconda-core,kbd
crun,glibc
criu,glibc
samba-client,glibc
isomd5sum,popt
objectweb-pom,maven-enforcer-plugin
texlive-fixlatvian,texlive-kpathsea
dde-launcher,libX11
openchange,libldb
libvirt-client,glib2
vsftpd,glibc
gcc-toolset-9-build,gcc-toolset-9-runtime
perl-Specio,perl-MRO-Compat
amanda,perl-Exporter
kwin-wayland,kwin-common
libreoffice-langpack-cs,libreoffice-help-cs
libvirt-daemon,gettext
libreoffice-langpack-es,libreoffice-help-es
gcc-toolset-9-elfutils-libelf,zlib
ghostscript-x11,libSM
net-snmp,lm_sensors-libs
gstreamer1-plugins-good-gtk,gstreamer1-plugins-good
java-17-openjdk-headless,harfbuzz
java-11-openjdk-headless,harfbuzz
texlive-cjk,texlive-garuda-c90
libdb-utils,libdb
google-noto-sans-fonts,bash
jmc-core,jmc
openbox,freetype
libvirt-client,glibc
rpm-plugin-selinux,elfutils-libelf
python3-ethtool,glibc
xsane-gimp,cairo
rpmlint,desktop-file-utils
perl-ExtUtils-MakeMaker,perl-Getopt-Long
systemd-container,bzip2-libs
389-ds-base,nspr
bcc,libbpf
evolution-pst,gtkspell3
xorg-x11-server-Xwayland,libXau
libvirt-client,libgcc
mailx,glibc
sssd-ad,libcollection
perl-libwww-perl,perl-Exporter
dde-daemon,dde-session-ui
texlive-oberdiek,texlive-qstest
dhcp-server,dhcp-common
perl-Test-Exception,perl-interpreter
OpenIPMI-libs,glib2
perl-libnet,perl-IO
gnome-classic-session,gnome-shell-extension-places-menu
sushi,gtk3
pcp-selinux,selinux-policy-targeted
evolution-spamassassin,sqlite-libs
